aX,aY,aZ,gX,gY,gZ
-0.078,-0.762,-0.936,15.320,-87.524,-38.208
-0.093,-0.671,-0.840,-0.366,-85.449,-30.396
-0.129,-0.642,-0.825,-6.226,-86.975,-22.278
-0.258,-0.693,-0.818,-2.686,-89.966,-16.296
-0.377,-0.754,-0.835,3.479,-100.525,-17.151
-0.430,-0.814,-0.900,5.066,-112.915,-22.522
-0.435,-0.856,-0.974,3.357,-117.432,-27.039
-0.434,-0.900,-0.994,2.319,-110.718,-25.879
-0.434,-0.934,-0.965,1.587,-94.177,-21.179
-0.436,-0.924,-0.888,0.122,-73.120,-17.334
-0.440,-0.910,-0.782,-0.427,-52.124,-15.137
-0.406,-0.881,-0.678,-1.038,-33.630,-13.000
-0.378,-0.851,-0.594,-2.747,-19.592,-10.437
-0.354,-0.839,-0.534,-5.310,-9.766,-7.874
-0.324,-0.849,-0.479,-6.409,-1.953,-5.981
-0.286,-0.886,-0.415,-4.578,6.226,-4.578
-0.251,-0.913,-0.357,-2.808,12.939,-3.967
-0.225,-0.913,-0.304,-2.197,17.944,-4.089
-0.202,-0.895,-0.276,-0.977,20.569,-5.066
-0.191,-0.856,-0.269,1.648,22.217,-7.324
-0.177,-0.836,-0.262,6.104,23.193,-9.827
-0.165,-0.776,-0.280,10.864,23.193,-12.268
-0.159,-0.733,-0.302,16.479,22.766,-13.794
-0.166,-0.711,-0.308,21.240,23.071,-13.184
-0.163,-0.704,-0.309,23.315,25.940,-9.949
-0.159,-0.704,-0.301,23.254,29.907,-4.822
-0.154,-0.709,-0.292,21.912,32.776,1.160
-0.148,-0.712,-0.282,19.531,35.156,8.545
-0.140,-0.723,-0.268,17.639,37.231,15.869
-0.134,-0.735,-0.253,15.076,37.170,23.193
-0.126,-0.742,-0.263,9.827,35.034,30.151
-0.110,-0.765,-0.268,4.211,31.372,35.645
-0.150,-0.816,-0.260,-0.427,27.100,39.795
-0.178,-0.852,-0.272,-2.930,24.109,41.443
-0.162,-0.903,-0.290,-1.770,23.376,40.039
-0.132,-0.944,-0.286,1.953,23.621,37.964
-0.082,-0.964,-0.232,3.601,23.743,36.011
-0.035,-0.965,-0.147,1.038,20.386,35.156
-0.003,-0.984,-0.100,-7.507,10.132,36.438
-0.001,-1.000,-0.144,-20.203,-3.662,37.231
-0.045,-0.999,-0.254,-30.640,-16.479,34.119
-0.119,-1.004,-0.325,-29.480,-23.499,26.184
-0.137,-0.979,-0.351,-16.724,-22.766,17.639
-0.082,-0.964,-0.345,-2.319,-20.386,11.414
0.015,-0.998,-0.297,4.822,-17.273,8.667
0.075,-1.044,-0.228,-0.244,-13.733,9.949
0.115,-1.056,-0.179,-19.104,-14.099,13.550
0.146,-1.120,-0.167,-44.067,-19.531,16.235
0.114,-1.125,-0.241,-65.430,-30.579,14.160
0.058,-1.148,-0.324,-68.970,-41.992,4.150
