aX,aY,aZ,gX,gY,gZ
0.714,-1.311,0.211,134.216,-36.316,34.546
0.678,-1.381,0.055,145.142,-51.941,34.058
0.621,-1.444,-0.106,142.883,-66.101,34.119
0.581,-1.484,-0.246,127.197,-73.425,28.442
0.542,-1.500,-0.313,104.980,-70.984,19.226
0.483,-1.470,-0.285,81.848,-58.105,10.315
0.412,-1.377,-0.239,62.378,-41.748,0.061
0.421,-1.281,-0.168,49.316,-29.480,-10.132

0.841,-1.358,0.410,-35.828,-17.639,21.545
0.874,-1.356,0.363,-42.480,-33.264,15.930
0.922,-1.360,0.313,-39.490,-49.622,7.812
0.960,-1.406,0.286,-24.780,-70.007,-0.366
0.965,-1.453,0.230,-7.080,-96.130,-9.094
0.998,-1.499,0.156,6.531,-125.610,-20.264
1.047,-1.543,0.029,12.512,-152.588,-31.311
1.007,-1.610,-0.119,10.071,-175.659,-40.283
0.959,-1.639,-0.270,8.850,-190.857,-46.021
0.923,-1.680,-0.410,16.174,-198.792,-51.025
0.874,-1.734,-0.491,30.762,-201.965,-58.777
0.838,-1.778,-0.578,45.959,-204.712,-70.435
0.816,-1.747,-0.709,56.152,-201.050,-83.923
0.750,-1.694,-0.808,58.716,-196.411,-95.825
0.705,-1.695,-0.851,51.636,-193.054,-105.469
0.635,-1.711,-0.876,34.973,-195.068,-113.281
0.594,-1.690,-0.930,12.024,-200.684,-116.028
0.561,-1.637,-1.003,-10.559,-203.064,-116.272
0.517,-1.566,-1.079,-27.222,-199.890,-117.859
0.445,-1.488,-1.135,-34.851,-191.284,-121.094
0.348,-1.415,-1.182,-29.907,-179.138,-125.916
0.291,-1.404,-1.230,-13.611,-160.950,-132.507
0.277,-1.460,-1.286,5.981,-136.414,-140.137
0.266,-1.464,-1.307,20.447,-107.239,-150.513
0.258,-1.385,-1.307,25.818,-77.332,-163.025
0.262,-1.266,-1.311,24.841,-47.607,-173.401
0.246,-1.146,-1.359,21.240,-22.400,-179.199
0.204,-1.063,-1.445,20.203,-3.174,-180.664
0.141,-0.997,-1.557,23.743,12.573,-179.565
0.083,-0.906,-1.654,28.687,29.419,-175.537
0.050,-0.763,-1.691,29.480,51.575,-168.213
0.059,-0.622,-1.652,24.658,75.745,-156.006
0.081,-0.505,-1.587,15.015,95.642,-138.611
0.063,-0.409,-1.504,1.404,111.084,-123.779
0.042,-0.342,-1.409,-14.893,125.671,-111.267
0.032,-0.285,-1.290,-31.799,138.916,-98.572
0.012,-0.226,-1.141,-50.110,147.583,-86.243
-0.019,-0.161,-1.001,-70.618,152.893,-71.960
-0.016,-0.124,-0.887,-89.600,157.288,-57.129
0.004,-0.113,-0.786,-100.708,159.058,-43.640
-0.015,-0.110,-0.680,-104.614,158.997,-32.776
-0.002,-0.102,-0.568,-107.117,163.513,-25.024
-0.023,-0.119,-0.383,-110.046,169.617,-20.081
-0.003,-0.150,-0.268,-113.892,171.631,-18.066
-0.008,-0.179,-0.126,-112.549,166.077,-18.555
0.015,-0.190,-0.027,-109.558,158.081,-21.118
0.047,-0.198,0.014,-106.201,151.062,-24.841
