aX,aY,aZ,gX,gY,gZ
-0.083,-1.064,0.246,-21.362,-2.075,0.671
-0.099,-0.993,0.245,0.061,-0.122,-3.906
-0.121,-0.946,0.263,13.245,3.784,-2.502
-0.130,-0.929,0.269,16.052,6.409,1.709
-0.118,-0.939,0.275,11.719,6.470,3.418
-0.101,-0.935,0.279,7.263,4.639,3.845
-0.096,-0.932,0.282,3.967,3.052,4.333
-0.077,-0.945,0.274,2.747,2.930,4.944
-0.072,-0.964,0.279,2.136,3.174,5.676
-0.066,-0.980,0.276,1.953,2.502,5.676
-0.062,-0.992,0.272,2.441,1.099,4.639
-0.061,-0.986,0.262,4.028,0.549,3.479
-0.064,-0.979,0.258,6.775,0.488,2.747
-0.073,-0.964,0.247,9.277,0.671,3.052
-0.080,-0.967,0.252,10.742,1.038,3.418
-0.088,-0.962,0.254,10.986,1.770,3.235
-0.092,-0.964,0.259,10.315,2.197,2.930
-0.100,-0.961,0.258,8.667,2.747,2.441
-0.109,-0.955,0.255,7.568,3.357,2.319
-0.111,-0.963,0.255,6.836,3.662,2.869
-0.108,-0.977,0.253,7.446,3.479,3.784
-0.102,-0.991,0.249,8.545,3.357,4.211
-0.106,-0.987,0.244,10.376,3.479,4.089
-0.108,-0.982,0.238,12.390,3.845,3.357
-0.106,-0.978,0.239,13.428,3.906,3.235
-0.104,-0.978,0.238,12.634,2.991,3.235
-0.100,-0.974,0.229,11.169,1.587,3.418
-0.098,-0.975,0.223,9.644,0.671,3.540
-0.097,-0.981,0.220,9.277,0.671,3.601
-0.094,-0.985,0.221,9.338,1.465,3.174
-0.092,-0.982,0.219,9.216,1.465,2.991
-0.095,-0.976,0.216,9.583,1.099,3.052
-0.093,-0.977,0.209,8.789,0.549,3.174
-0.090,-0.986,0.205,6.592,-0.061,3.357
-0.088,-0.994,0.205,4.578,0.366,2.869
-0.088,-0.987,0.211,3.845,1.648,2.014
-0.088,-0.973,0.223,2.930,2.502,1.343
-0.089,-0.960,0.232,2.197,2.197,1.099
-0.092,-0.955,0.239,1.404,2.441,1.465
-0.100,-0.959,0.244,0.183,2.747,2.197
-0.098,-0.965,0.247,-0.732,2.380,3.113
-0.092,-0.977,0.249,-0.244,1.404,3.784
-0.088,-0.985,0.246,1.526,0.610,4.150
-0.084,-0.988,0.240,3.784,0.122,4.089
-0.084,-0.987,0.233,6.042,-0.122,3.784
-0.082,-0.983,0.226,7.568,-0.305,3.479
-0.084,-0.977,0.221,7.446,0.122,2.808
-0.091,-0.969,0.219,7.202,0.610,2.808
-0.093,-0.972,0.224,6.592,0.916,2.747
-0.094,-0.977,0.228,5.981,1.404,2.869
-0.095,-0.974,0.228,5.798,1.343,2.930
-0.094,-0.971,0.228,5.920,1.221,3.174
-0.094,-0.974,0.227,5.737,0.916,3.540
-0.094,-0.981,0.226,5.005,0.427,3.906
-0.093,-0.989,0.224,4.822,-0.183,4.272
-0.092,-0.988,0.225,5.066,-0.610,4.028
-0.098,-0.985,0.227,5.432,-0.244,3.479
-0.091,-0.978,0.228,6.470,-0.488,2.991
-0.089,-0.981,0.228,7.324,-0.793,3.174
-0.086,-0.981,0.220,7.690,-1.160,3.235
-0.081,-0.978,0.212,8.118,-1.404,3.174
-0.082,-0.977,0.205,7.996,-1.526,3.113
-0.083,-0.982,0.196,7.690,-1.404,3.296
-0.085,-0.984,0.194,6.531,-0.977,3.113
-0.085,-0.982,0.190,4.944,-0.122,2.869
-0.086,-0.981,0.188,3.296,0.366,2.686
-0.086,-0.983,0.192,2.075,0.671,2.625
-0.081,-0.982,0.197,1.282,1.038,2.502
-0.079,-0.978,0.200,-0.061,1.160,2.441
-0.076,-0.978,0.201,-1.038,0.977,2.563
-0.076,-0.984,0.203,-1.526,1.099,2.502
-0.082,-0.989,0.216,-2.075,1.831,2.014
-0.086,-0.986,0.227,-1.892,2.502,1.404
-0.094,-0.979,0.233,-0.977,2.319,0.977
-0.098,-0.974,0.232,0.427,1.770,1.221
-0.102,-0.969,0.229,1.953,1.343,1.770
-0.100,-0.973,0.224,2.502,1.099,2.441
-0.091,-0.984,0.220,2.075,0.549,2.991
-0.089,-0.986,0.213,1.648,0.488,2.930
-0.085,-0.983,0.209,2.136,1.099,2.808
-0.084,-0.982,0.212,2.563,1.587,2.563
-0.085,-0.977,0.215,2.808,2.197,2.625
-0.084,-0.974,0.216,2.563,2.075,2.808
-0.086,-0.976,0.214,1.770,1.770,2.747
-0.085,-0.980,0.213,1.404,1.587,2.747
-0.088,-0.986,0.215,0.610,1.343,2.441
-0.089,-0.987,0.218,0.000,1.648,2.014
-0.088,-0.981,0.219,0.305,1.648,1.953
-0.084,-0.980,0.224,1.465,1.526,2.136
-0.084,-0.979,0.224,2.258,1.282,2.075
-0.086,-0.977,0.222,2.625,1.038,2.319
-0.089,-0.974,0.217,2.930,0.977,2.319
-0.088,-0.982,0.221,3.052,0.977,2.319
-0.087,-0.989,0.224,2.991,1.099,2.136
-0.087,-0.983,0.221,3.174,0.610,1.892
-0.089,-0.976,0.214,3.418,-0.183,1.831
-0.089,-0.977,0.208,4.089,-0.366,1.953
-0.088,-0.983,0.206,3.906,0.000,2.380
-0.088,-0.982,0.205,2.808,0.977,2.380
-0.090,-0.974,0.208,1.831,1.831,2.197
-0.088,-0.977,0.222,1.282,2.441,2.380
-0.084,-0.985,0.234,1.343,2.197,2.258
-0.089,-0.986,0.233,2.136,1.587,1.953
-0.092,-0.976,0.227,3.662,0.732,2.075
-0.092,-0.977,0.219,4.944,0.122,2.380

-0.642,1.781,1.121,-68.054,114.380,-219.482
-0.701,2.092,1.353,-45.959,109.558,-190.063
-0.820,2.245,1.499,-20.020,99.548,-147.949
-0.928,2.165,1.515,6.226,76.965,-97.168
-0.939,1.829,1.376,31.860,38.208,-45.105
-0.846,1.408,1.076,49.438,-6.592,-4.395
-0.816,0.966,0.753,55.847,-44.312,24.597
-0.829,0.540,0.432,53.284,-67.993,47.363
-0.820,0.156,0.162,51.270,-81.177,60.608
-0.816,-0.139,-0.088,51.453,-82.336,61.096
-0.810,-0.347,-0.276,54.138,-70.862,49.194
-0.832,-0.443,-0.374,59.814,-50.354,31.128
-0.870,-0.426,-0.377,62.134,-26.123,10.742
-0.915,-0.328,-0.313,53.772,-5.005,-8.911
-0.960,-0.176,-0.213,31.738,8.423,-23.437
-0.982,-0.015,-0.090,2.441,16.846,-31.616
-0.970,0.129,0.041,-22.278,21.729,-34.424
-0.958,0.290,0.193,-34.912,27.222,-34.363
-0.958,0.452,0.347,-33.691,33.630,-32.837
-0.963,0.569,0.491,-22.705,38.330,-29.175
-0.974,0.629,0.594,-9.033,37.476,-20.569
-0.966,0.622,0.642,2.319,29.358,-9.277
-0.950,0.541,0.631,7.263,14.832,1.770
-0.926,0.433,0.568,4.822,-0.610,11.780
-0.913,0.326,0.498,0.793,-12.207,19.104
-0.904,0.233,0.428,-1.404,-19.043,23.315
-0.910,0.153,0.352,0.732,-20.813,23.865
-0.920,0.099,0.285,8.118,-18.677,22.095
-0.934,0.068,0.232,18.311,-14.832,18.921
-0.949,0.039,0.183,26.184,-11.597,15.564
-0.944,0.018,0.146,28.748,-9.033,12.939
-0.937,-0.001,0.128,26.978,-5.310,10.071
-0.934,0.005,0.128,22.522,-0.671,6.653
-0.930,0.032,0.140,15.991,3.662,2.869
-0.938,0.093,0.164,10.803,8.057,-0.183
-0.949,0.159,0.200,9.521,12.878,-1.770
-0.948,0.209,0.237,12.756,17.029,-2.747
-0.940,0.213,0.280,18.311,19.531,-2.380
-0.922,0.214,0.322,20.935,20.874,-0.610
-0.911,0.203,0.366,19.165,21.240,0.488
-0.914,0.182,0.404,14.282,19.653,2.258
-0.918,0.181,0.425,8.179,15.564,3.845
-0.923,0.187,0.422,3.967,9.155,4.333
-0.936,0.198,0.396,3.479,2.991,4.944
-0.942,0.197,0.353,5.615,-1.160,5.859
-0.942,0.175,0.313,10.132,-3.113,6.104
-0.950,0.151,0.293,14.954,-3.601,5.859
